game_id,season,week,home_team,away_team,home_rest,away_rest,roof,temp,wind,stadium_id,stadium,rest_diff,home_injury_score,away_injury_score,injury_diff
2020_01_HOU_KC,2020,1,KC,HOU,7,7,outdoors,56,7,KAN00,Arrowhead Stadium,0,0.0,6.5,6.5
2020_01_SEA_ATL,2020,1,ATL,SEA,7,7,closed,,,ATL97,Mercedes-Benz Stadium,0,6.5,7.0,0.5
2020_01_CLE_BAL,2020,1,BAL,CLE,7,7,outdoors,76,5,BAL00,M&T Bank Stadium,0,14.5,12.5,-2.0
2020_01_NYJ_BUF,2020,1,BUF,NYJ,7,7,outdoors,67,15,BUF00,New Era Field,0,3.5,55.5,52.0
2020_01_LV_CAR,2020,1,CAR,LV,7,7,outdoors,81,5,CAR00,Bank of America Stadium,0,5.5,0.0,-5.5
2020_01_CHI_DET,2020,1,DET,CHI,7,7,dome,,,DET00,Ford Field,0,21.25,15.25,-6.0
2020_01_IND_JAX,2020,1,JAX,IND,7,7,outdoors,80,3,JAX00,TIAA Bank Stadium,0,5.0,3.5,-1.5
2020_01_GB_MIN,2020,1,MIN,GB,7,7,dome,,,MIN01,U.S. Bank Stadium,0,0.0,8.5,8.5
2020_01_MIA_NE,2020,1,NE,MIA,7,7,outdoors,70,8,BOS00,Gillette Stadium,0,17.0,1.5,-15.5
2020_01_PHI_WAS,2020,1,WAS,PHI,7,7,outdoors,76,5,WAS00,FedExField,0,6.0,17.5,11.5
2020_01_LAC_CIN,2020,1,CIN,LAC,7,7,outdoors,83,6,CIN00,Paul Brown Stadium,0,6.5,11.0,4.5
2020_01_TB_NO,2020,1,NO,TB,7,7,dome,,,NOR00,Mercedes-Benz Superdome,0,7.0,3.75,-3.25
2020_01_ARI_SF,2020,1,SF,ARI,7,7,outdoors,66,6,SFO01,Levi's Stadium,0,11.0,3.0,-8.0
2020_01_DAL_LA,2020,1,LA,DAL,7,7,dome,,,LAX01,SoFi Stadium,0,0.0,2.0,2.0
2020_01_PIT_NYG,2020,1,NYG,PIT,7,7,outdoors,71,5,NYC01,MetLife Stadium,0,6.5,3.0,-3.5
2020_01_TEN_DEN,2020,1,DEN,TEN,7,7,outdoors,79,10,DEN00,Empower Field at Mile High,0,11.0,18.5,7.5
2020_02_CIN_CLE,2020,2,CLE,CIN,4,4,outdoors,65,8,CLE00,FirstEnergy Stadium,0,20.0,11.0,-9.0
2020_02_NYG_CHI,2020,2,CHI,NYG,7,6,outdoors,66,12,CHI98,Soldier Field,1,3.0,6.0,3.0
2020_02_ATL_DAL,2020,2,DAL,ATL,7,7,closed,,,DAL00,AT&T Stadium,0,2.5,8.75,6.25
2020_02_DET_GB,2020,2,GB,DET,7,7,outdoors,66,12,GNB00,Lambeau Field,0,22.0,20.0,-2.0
2020_02_MIN_IND,2020,2,IND,MIN,7,7,closed,,,IND00,Lucas Oil Stadium,0,13.5,2.0,-11.5
2020_02_BUF_MIA,2020,2,MIA,BUF,7,7,outdoors,90,5,MIA00,Hard Rock Stadium,0,7.0,9.0,2.0
2020_02_SF_NYJ,2020,2,NYJ,SF,7,7,outdoors,61,7,NYC01,MetLife Stadium,0,50.5,8.5,-42.0
2020_02_LA_PHI,2020,2,PHI,LA,7,7,outdoors,62,12,PHI00,Lincoln Financial Field,0,8.0,2.5,-5.5
2020_02_DEN_PIT,2020,2,PIT,DEN,6,6,outdoors,64,5,PIT00,Heinz Field,0,6.0,14.5,8.5
2020_02_CAR_TB,2020,2,TB,CAR,7,7,outdoors,85,17,TAM00,Raymond James Stadium,0,8.75,9.0,0.25
2020_02_JAX_TEN,2020,2,TEN,JAX,6,7,outdoors,72,5,NAS00,Nissan Stadium,-1,15.5,5.0,-10.5
2020_02_WAS_ARI,2020,2,ARI,WAS,7,7,closed,,,PHO00,State Farm Stadium,0,11.0,5.5,-5.5
2020_02_BAL_HOU,2020,2,HOU,BAL,10,7,closed,,,HOU00,NRG Stadium,3,8.0,13.0,5.0
2020_02_KC_LAC,2020,2,LAC,KC,7,10,dome,,,LAX01,SoFi Stadium,-3,3.75,8.0,4.25
2020_02_NE_SEA,2020,2,SEA,NE,7,7,outdoors,70,5,SEA00,CenturyLink Field,0,7.0,16.0,9.0
2020_02_NO_LV,2020,2,LV,NO,8,8,dome,,,VEG00,Allegiant Stadium,0,10.75,11.0,0.25
2020_03_MIA_JAX,2020,3,JAX,MIA,4,4,outdoors,81,12,JAX00,TIAA Bank Stadium,0,6.5,6.5,0.0
2020_03_CHI_ATL,2020,3,ATL,CHI,7,7,closed,,,ATL97,Mercedes-Benz Stadium,0,12.5,3.0,-9.5
2020_03_LA_BUF,2020,3,BUF,LA,7,7,outdoors,79,16,BUF00,New Era Field,0,17.0,6.0,-11.0
2020_03_WAS_CLE,2020,3,CLE,WAS,10,7,outdoors,73,18,CLE00,FirstEnergy Stadium,3,12.0,10.0,-2.0
2020_03_TEN_MIN,2020,3,MIN,TEN,7,7,dome,,,MIN01,U.S. Bank Stadium,0,7.5,10.0,2.5
2020_03_LV_NE,2020,3,NE,LV,7,6,outdoors,73,8,BOS00,Gillette Stadium,1,20.0,19.0,-1.0
2020_03_SF_NYG,2020,3,NYG,SF,7,7,outdoors,75,2,NYC01,MetLife Stadium,0,2.5,62.0,59.5
2020_03_CIN_PHI,2020,3,PHI,CIN,7,10,outdoors,76,5,PHI00,Lincoln Financial Field,-3,13.5,5.5,-8.0
2020_03_HOU_PIT,2020,3,PIT,HOU,7,7,outdoors,79,6,PIT00,Heinz Field,0,0.0,6.5,6.5
2020_03_NYJ_IND,2020,3,IND,NYJ,7,7,closed,,,IND00,Lucas Oil Stadium,0,7.5,22.0,14.5
2020_03_CAR_LAC,2020,3,LAC,CAR,7,7,dome,,,LAX01,SoFi Stadium,0,58.25,6.0,-52.25
2020_03_DET_ARI,2020,3,ARI,DET,7,7,closed,,,PHO00,State Farm Stadium,0,10.5,11.5,1.0
2020_03_TB_DEN,2020,3,DEN,TB,7,7,outdoors,55,7,DEN00,Empower Field at Mile High,0,48.25,5.0,-43.25
2020_03_DAL_SEA,2020,3,SEA,DAL,7,7,outdoors,63,3,SEA00,CenturyLink Field,0,8.0,5.0,-3.0
2020_03_GB_NO,2020,3,NO,GB,6,7,dome,,,NOR00,Mercedes-Benz Superdome,-1,15.0,13.75,-1.25
2020_03_KC_BAL,2020,3,BAL,KC,8,8,outdoors,73,8,BAL00,M&T Bank Stadium,0,8.5,8.0,-0.5
2020_04_DEN_NYJ,2020,4,NYJ,DEN,4,4,outdoors,64,6,NYC01,MetLife Stadium,0,18.25,46.5,28.25
2020_04_ARI_CAR,2020,4,CAR,ARI,7,7,outdoors,68,8,CAR00,Bank of America Stadium,0,4.5,16.0,11.5
2020_04_JAX_CIN,2020,4,CIN,JAX,7,10,outdoors,64,6,CIN00,Paul Brown Stadium,-3,10.5,6.5,-4.0
2020_04_CLE_DAL,2020,4,DAL,CLE,7,7,closed,,,DAL00,AT&T Stadium,0,2.5,17.5,15.0
2020_04_NO_DET,2020,4,DET,NO,7,7,dome,,,DET00,Ford Field,0,9.5,21.5,12.0
2020_04_MIN_HOU,2020,4,HOU,MIN,7,7,closed,,,HOU00,NRG Stadium,0,4.0,3.5,-0.5
2020_04_SEA_MIA,2020,4,MIA,SEA,10,7,outdoors,86,13,MIA00,Hard Rock Stadium,3,24.5,16.5,-8.0
2020_04_LAC_TB,2020,4,TB,LAC,7,7,outdoors,75,6,TAM00,Raymond James Stadium,0,12.5,56.5,44.0
